Store Name,Address,Region,Product,Draw Date,Value
HOFFMAN MINI MART,124 HOFFMAN ST N2M-3N1 KITCHENER,KITCHENER,Lightning Lotto,28-Apr-2023,575305.9
RIVER OAKS CONVENIENCE STORE,201 RIVER OAKS BLVD W L6H-3S7 OAKVILLE,OAKVILLE,Lightning Lotto,16-Jun-2023,574471.8
BAKE'S VARIETY,2773 LAKE SHORE BLVD W M8V-1H4 ETOBICOKE,ETOBICOKE,REEL CASH,31-2360,500000.0
CIRCLE K #1002,258 PARK RD S L1J-4H3 OSHAWA,OSHAWA,Daily Grand,15-Jun-2023,500000.0
ESSO GAS STATION / EXPRESS MART,12891 YONGE ST L4E-3M7 RICHMOND HILL,HILL,REEL CASH,31-2360,500000.0
FOODY MART,355 BAMBURGH CIR M1W-3Y1 SCARBOROUGH,SCARBOROUGH,THE BIG SPIN,31-3108,500000.0
PETRO CANADA,1514 STEELES AVE W L4K-2P7 CONCORD,CONCORD,Daily Grand,20-Mar-2023,500000.0
QUICK PICK VARIETY,37 JOHN ST P2B-1Y2 STURGEON FALLS,FALLS,Lotto Max,06-Jun-2023,500000.0
R & P CONVENIENCE,90 SIMCOE ST N4G-2H8 TILLSONBURG,TILLSONBURG,Lotto Max,25-Jul-2023,500000.0
TOMS FOOD STORE,100 NONQUON RD L1G-3S4 OSHAWA,OSHAWA,Lotto Max,25-Jul-2023,500000.0
TOWNCENTRE NEWS & CONVENIENCE,1111 DAVIS DR L3Y-2R9 NEWMARKET,NEWMARKET,Lotto Max,25-Jul-2023,500000.0
PARK RETAIL,2495 KINGSTON RD M1N-1V4 SCARBOROUGH,SCARBOROUGH,Lottario,18-Mar-2023,404961.8
PETRO CANADA,2371 25 SIDEROAD L9S-2G3 INNISFIL,INNISFIL,Lottario,01-Apr-2023,382900.2
LONGO'S #19 - AURORA,650 WELLINGTON ST E L4G-0K3 AURORA,AURORA,Lotto Max,02-Jun-2023,342257.1
PIONEER SNACK EXPRESS,1 HARWOOD AVE S L1S-2C1 AJAX,AJAX,Lightning Lotto,13-Mar-2023,331192.1
KITCHEN BASKET CONVENIENCE,2822 MARKHAM RD M1X-1E6 SCARBOROUGH,SCARBOROUGH,PAY DAY,31-2371,300000.0
ORLEANS SOBEYS #4738,2276 TENTH LINE RD K4A-0X4 ORLEANS,ORLEANS,PAY DAY,31-2371,300000.0
PETRO CANADA,1241 WEBER ST E N2A-1C2 KITCHENER,KITCHENER,Lotto 649,09-Aug-2023,289631.4
SDM #1146 - WELLINGTON & COMMISSIONERS,645 COMMISSIONERS RD E N6C-2T9 LONDON,LONDON,Lotto 649,19-Jul-2023,259946.5
LOBLAWS #1035 - BARRHAVEN,3201 GREENBANK RD K2J-4H9 NEPEAN,NEPEAN,Lotto 649,11-Mar-2023,257082.0
BIG BEAR FOOD MART,450 APPLEBY LINE L7L-2Y2 BURLINGTON,BURLINGTON,BONUS MONEY,31-2355,250000.0
BRYAN'S VARIETY,158 MILL ST N0L-1M0 GLENCOE,GLENCOE,BONUS MONEY,31-2355,250000.0
CAYUGA IDA PHARMACY,18 TALBOT ST E N0A-1E0 CAYUGA,CAYUGA,CROSS DELUXE,31-3351,250000.0
CIRCLE K #62020 - CHRISTOPHER,115 CHRISTOPHER DR N1R-4S1 CAMBRIDGE,CAMBRIDGE,GOLDEN JP,31-2333,250000.0
COMPLETE MART,1200 YORK MILLS RD M3A-1X8 NORTH YORK,YORK,THE BIG SPIN,31-3108,250000.0
DAIRY MART,2987 LAKE SHORE BLVD W M8V-1J8 ETOBICOKE,ETOBICOKE,CROSS DELUXE,31-3351,250000.0
EAGLE MINI MART,1531 EAGLE ST N N3H-1E1 CAMBRIDGE,CAMBRIDGE,SCRABBLE,31-2372,250000.0
FRESHWAY MART,1020 COUNTY RD 22 N0R-1A0 BELLE RIVER,RIVER,CASH IN,31-2367,250000.0
HASTY MARKET,11 WESTWOOD DR N2M-2K5 KITCHENER,KITCHENER,BINGO MULTIP,31-3080,250000.0
LUCKY TICKETS,1226 ISLINGTON AVE M8X-1Y8 ETOBICOKE,ETOBICOKE,Lottario,29-Apr-2023,250000.0
PETRO CANADA,1755 ALBION RD M9V-1C3 ETOBICOKE,ETOBICOKE,CROSS DELUXE,31-3351,250000.0
PORT COLBORNE SOBEYS #4735,287 WEST SIDE RD L3K-5L2 PORT COLBORNE,COLBORNE,BONUS MONEY,31-2355,250000.0
