Store Name,Address,Region,Product,Draw Date,Value
PETRO CANADA,695 BURNHAMTHORPE RD W L5C-3A6 MISSISSAUGA,MISSISSAUGA,Encore - Lotto Max,25-Apr-2023,100000.0
PIONEER ON THE RUN,3411 MAVIS RD L5C-1T7 MISSISSAUGA,MISSISSAUGA,Encore - Lotto Max,04-Aug-2023,100000.0
PIONEER ON THE RUN,545 WOODWARD AVE L8H-6P2 HAMILTON,HAMILTON,Encore - 649,25-Mar-2023,100000.0
PIONEER SNACK EXPRESS,1105 KING ST E N2G-2N3 KITCHENER,KITCHENER,Lotto 649,25-Mar-2023,100000.0
PIONEER SNACK EXPRESS,146 LIBERTY ST S L1C-2P4 BOWMANVILLE,BOWMANVILLE,Encore - Lotto Max,03-Mar-2023,100000.0
PRESTON'S FOOD MART,60 CONFEDERATION ST L7G-3R7 GLEN WILLIAMS,WILLIAMS,POWER UP,31-2368,100000.0
PROXI NEPEAN,1660 MERIVALE RD K2G-3K4 NEPEAN,NEPEAN,KINGS,31-2353,100000.0
REXALL #2188 - CALEDONIA,351 ARGYLE ST S N3W-1K7 CALEDONIA,CALEDONIA,Encore - Pick 2,14-Apr-2023,100000.0
REXALL #34,1205 FISHER ST P1B-2H2 NORTH BAY,BAY,Encore - Ontario 49,22-Mar-2023,100000.0
SDM #1254 - INNES & PORTOBELLO,1937 PORTOBELLO BLVD K4A-4W9 ORLEANS,ORLEANS,Encore - Lotto Max,19-May-2023,100000.0
SDM #1528 - GREENBANK & BELLMAN,181 GREENBANK RD K2H-5V6 NEPEAN,NEPEAN,Encore - Lotto Max,18-Jul-2023,100000.0
SDM #616 - RITSON CENTRE,300 TAUNTON RD E L1G-7T4 OSHAWA,OSHAWA,Encore - 649,15-Mar-2023,100000.0
SDM #670 - NEW SUDBURY CENTRE,1349 LASALLE BLVD P3A-1Z2 SUDBURY,SUDBURY,Encore - 649,18-Mar-2023,100000.0
SDM #771 - SOUTH COMMON MALL,2126 BURNHAMTHORPE RD W L5L-5Z5 MISSISSAUGA,MISSISSAUGA,Encore - Lotto Max,14-Jul-2023,100000.0
SDM #913 - JANE & MAJOR MACKENZIE,2943 MAJOR MACKENZIE DR L6A-3N9 MAPLE,MAPLE,Encore - 649,26-Jul-2023,100000.0
SHELL,12871 YONGE ST. L4E-1A3 RICHMOND HILL,HILL,Encore - 649,06-May-2023,100000.0
SHELL C STORE,4790 DORCHESTER RD L2E-6N9 NIAGARA FALLS,FALLS,Encore - 649,07-Jun-2023,100000.0
SHELL CANADA,135 REXDALE BLVD M9W-1P7 ETOBICOKE,ETOBICOKE,Encore - Lotto Max,20-Jun-2023,100000.0
SHELL GAS STATION,5286 DUNDAS ST W M9B-1B2 ETOBICOKE,ETOBICOKE,Encore - 649,22-Mar-2023,100000.0
SHELL SELECT,396 FRONT ST N K8P-3C9 BELLEVILLE,BELLEVILLE,Encore - Lotto Max,15-Aug-2023,100000.0
SHELL WHITES ROAD,690 KINGSTON RD L1V-1A6 PICKERING,PICKERING,POWER UP,31-2368,100000.0
SHERWOOD CONVENIENCE,19272 HIGHWAY 60 K0J-1B0 BARRYS BAY,BAY,Encore - Lotto Max,06-Jun-2023,100000.0
SHORTLINE CONVENIENCE AND VIDEO STORE,1300 2ND ST W K6J-1J3 CORNWALL,CORNWALL,Encore - 649,29-Jul-2023,100000.0
SMOKE & VARIETY,5 HILLCROFT DR L3S-1R6 MARKHAM,MARKHAM,Encore - Lotto Max,21-Apr-2023,100000.0
SMOKER'S KORNER,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,SCARBOROUGH,100KMONYMTCH,31-2358,100000.0
SOBEYS #6730,255 DUNDAS ST E L8B-0E5 WATERDOWN,WATERDOWN,Lotto 649,25-Mar-2023,100000.0
SOL CONVENIENCE,1243 ST. CLAIR AVE W M6E-1B8 TORONTO,TORONTO,Poker Lotto,01-Jun-2023,100000.0
SP&G,82 PENINSULA ROAD P0T-2E0 MARATHON,MARATHON,Encore - 649,24-Jun-2023,100000.0
STEELES EDWARD K. CIGAR & NEWS,6229 BATHURST ST M2R-2A5 NORTH YORK,YORK,Encore - Lotto Max,20-Jun-2023,100000.0
STONEY LAKE VARIETY,10420 124 HWY P0A-1Z0 SUNDRIDGE,SUNDRIDGE,SUIT UP,31-2356,100000.0
SUN VARIETY,1406 KING ST E N3H-3R4 CAMBRIDGE,CAMBRIDGE,Encore - 649,16-Aug-2023,100000.0
T.O. FINE FOODS LAKESHORE,3089 LAKE SHORE BLVD W M8V-3W8 ETOBICOKE,ETOBICOKE,POWER UP,31-2368,100000.0
TELLY'S VARIETY,775 COLBORNE ST N3S-3S3 BRANTFORD,BRANTFORD,Encore - Lotto Max,28-Apr-2023,100000.0
THE COUNTRY STORE,9142 HWY 17 P0R-1C0 BRUCE MINES,MINES,Encore - 649,03-Jun-2023,100000.0
TOTTENHAM PHARMACY,55 QUEEN ST S L0G-1W0 TOTTENHAM,TOTTENHAM,Encore - 649,19-Aug-2023,100000.0
ULTRAMAR TRENTON,110 COUNTY RD 33 K8V-5P6 TRENTON,TRENTON,Encore - Lotto Max,18-Apr-2023,100000.0
VANDERWERF'S YOUR INDEPENDENT GROCER,1244 GODERICH ST N0H-2C0 PORT ELGIN,ELGIN,Encore - Lotto Max,09-May-2023,100000.0
VICTORY CONVENIENCE,2976 FALCONBRIDGE HWY P3L-1J6 GARSON,GARSON,Encore - Lotto Max,07-Jul-2023,100000.0
WAVERLEY VARIETY,114 WAVERLEY RD L1C-3W9 BOWMANVILLE,BOWMANVILLE,Lotto 649,25-Mar-2023,100000.0
WEST RIDGE CONVENIENCE STORE,3300 MONARCH DR L3V-8A2 ORILLIA,ORILLIA,Lotto 649,25-Mar-2023,100000.0
ESSO,5241 BLOOMINGTON RD L4A-2W9 STOUFFVILLE,STOUFFVILLE,Poker Lotto All In,13-Jun-2023,99448.4
GIANT TIGER #159 SCARBOROUGH,682 KENNEDY RD M1K-2B5 SCARBOROUGH,SCARBOROUGH,Lotto Max,21-Mar-2023,91824.4
7-ELEVEN ST.CLAIR W,1169 ST CLAIR AVE W M6E-1B2 TORONTO,TORONTO,WILD 8,31-2352,88888.0
C & H VARIETY,329 ADELAIDE AVE E L1G-1Z9 OSHAWA,OSHAWA,WILD 8,31-2352,88888.0
METRO #229- KING ROSE PLACE,1900 KING ST E L8K-1W1 HAMILTON,HAMILTON,WILD 8,31-2352,88888.0
MORGAN'S CONVENIENCE,279 GRAND RIVER ST N N3L-2N9 PARIS,PARIS,WILD 8,31-2352,88888.0
QUICKIE BROCKVILLE 40002,1275 KENSINGTON PKY K6V-6C3 BROCKVILLE,BROCKVILLE,WILD 8,31-2352,88888.0
SHELL,2975 ST JOSEPH BLVD K1C-7C2 ORLEANS,ORLEANS,WILD 8,31-2352,88888.0
LOBLAWS #1028 - RICHMOND HILL,301 HIGH TECH RD L4B-4R2 RICHMOND HILL,HILL,Lotto Max,26-May-2023,88590.0
SHELL,7828 NINTH LINE L6B-1A8 MARKHAM,MARKHAM,Lotto Max,16-May-2023,86645.2
BEST PRICE CORNER STORE,415 TECUMSEH RD W N8X-1G5 WINDSOR,WINDSOR,Lotto Max,16-Jun-2023,85696.7
STOUFFVILLE HUSKY,2210 STOUFFVILLE RD L0H-1G0 GORMLEY,GORMLEY,Lotto 649,29-Mar-2023,85379.0
WHITE OAKS TICKET CENTRE,1105 WELLINGTON RD N6E-1V4 LONDON,LONDON,Lotto 649,29-Mar-2023,85379.0
BUCKHORN FOODLAND,3329 BUCKHORN RD K0L-1J0 BUCKHORN,BUCKHORN,Lotto Max,07-Jul-2023,82911.1
RIVER VARIETY,380 QUEENSVILLE SIDE RD L9N-1A8 RIVER DRIVE PAR,PAR,Lotto Max,07-Jul-2023,82911.1
GOLD STAR CONVENIENE,3100 DIXIE RD L4Y-2A6 MISSISSAUGA,MISSISSAUGA,Lotto 649,12-Apr-2023,81744.7
PETRO CANADA,1071 DUNDAS ST S N1R-5S2 CAMBRIDGE,CAMBRIDGE,Lotto 649,12-Apr-2023,81744.7
PETRO CANADA,7011 BATHURST ST L4J-2J6 THORNHILL,THORNHILL,Lotto 649,12-Apr-2023,81744.7
WELLINGTON MINI MART,297 WELLINGTON ST E L4G-6H6 AURORA,AURORA,Poker Lotto All In,07-Jul-2023,77009.2
GLEN'S VARIETY STORE & GAS BAR,300 ST ANDREWS ST N1S-1P3 CAMBRIDGE,CAMBRIDGE,CASINO CASH,31-2340,75000.0
GREENWOOD FOOD MARKET,247 GREENWOOD AVE M4L-2R4 TORONTO,TORONTO,CASHINGO,31-2361,75000.0
JEM MART #40,3397 FALCONBRIDGE HWY P3L-1E4 GARSON,GARSON,CASINO CASH,31-2340,75000.0
JUNGS JUGS CITY,320 MAIN ST N0C-1B0 DUNDALK,DUNDALK,RUN THETABLE,31-2377,75000.0
LUCKY MART,104 HIGH ST L0E-1R0 SUTTON WEST,WEST,RUN THETABLE,31-2377,75000.0
NEW YORK NEWS - LAWRENCE SQ,700 LAWRENCE AVE W M6A-3B4 NORTH YORK,YORK,ROULETTE,31-2364,75000.0
POINT VARIETY,510 MICHIGAN AVE N7V-1G5 POINT EDWARD,EDWARD,CASHINGO,31-2361,75000.0
SAK'S FINE FOODS,1677 O'CONNOR DR M4A-1W5 NORTH YORK,YORK,CASHINGO,31-2361,75000.0
SOBEYS #707 - NORTH PARK,930 NORTH PARK DR L6S-3Y5 BRAMPTON,BRAMPTON,CASINO CASH,31-2340,75000.0
THE TICKET SHOP,6464 YONGE ST M2M-3X4 NORTH YORK,YORK,TETRIS,31-2362,75000.0
BALTAZ CORNERS,2351 FISCHER HALLMAN RD N0B-1E0 AYR,AYR,Lotto Max,21-Apr-2023,74651.4
SMITH'S ULTRAMAR,21 GREER RD P0B-1L0 PORT SYDNEY,SYDNEY,Lotto 649,03-Jun-2023,73755.0
LOBLAWS #1082 - MERIVALE,1460 MERIVALE RD K2E-5P2 NEPEAN,NEPEAN,Lotto 649,14-Jun-2023,73607.3
MAC'S HOWARD,2730 HOWARD AVE N8X-3X6 WINDSOR,WINDSOR,Poker Lotto All In,21-May-2023,73097.2
CITY CONVENIENCE,380 CROCKETT ST L8V-1H9 HAMILTON,HAMILTON,Lotto 649,04-Mar-2023,71198.6
LITTLE ELEVEN CONVENIENCE,409 YONGE ST L4N-4E1 BARRIE,BARRIE,Lotto 649,24-May-2023,69758.9
THORNBURY EXPRESS MART,40 ARTHUR ST W N0H-2P0 THORNBURY,THORNBURY,Lotto Max,08-Aug-2023,67802.9
GIANT TIGER #137 NIAGARA FALLS,6161 THOROLD STONE RD L2J-1A4 NIAGARA FALLS,FALLS,Lotto 649,13-May-2023,63048.4
MACEWEN SEYMOUR- COUNTY LINE,1375 SEYMOUR ST P1B-9V6 NORTH BAY,BAY,Lotto 649,13-May-2023,63048.4
PETRO CANADA GAS STATION,5899 BALDWIN ST S L1M-2J7 WHITBY,WHITBY,Poker Lotto All In,08-May-2023,61982.9
HAPPY MARKET,547 HOLLAND ST W L3Z-0C1 BRADFORD,BRADFORD,Poker Lotto All In,12-Aug-2023,60559.4
ESSO/CIRCLE K #52590,1472 WELLINGTON ST E L4G-7B6 AURORA,AURORA,Poker Lotto All In,27-Mar-2023,59904.6
ORSMBEE'S MERCANTILE,3814 BATTERSEA RD K0H-1X0 INVERARY,INVERARY,Lotto 649,07-Jun-2023,59762.2
PIONEER/SHOP & GO CONVENIENCE,161 PETER ST L1A-1C7 PORT HOPE,HOPE,Lotto 649,07-Jun-2023,59762.2
CIRCLE K #66123 - BLOOR,2244 BLOOR ST W M6S-1N6 TORONTO,TORONTO,Lotto 649,01-Apr-2023,55918.8
GATEWAY NEWSTANDS #55,1800 SHEPPARD AVE E M2J-5A7 NORTH YORK,YORK,Poker Lotto All In,13-May-2023,55143.2
ACTION  CONVENIENCE,1701 MARTIN GROVE RD M9V-4N4 ETOBICOKE,ETOBICOKE,Ontario 49,25-Mar-2023,50000.0
BIG BEE CONVENIENCE,1557 MAIN ST E L8K-1E5 HAMILTON,HAMILTON,Daily Keno,04-Aug-2023,50000.0
BUCK OR TWO PLUS #603,275 BROCKVILLE ST K7A-4Z6 SMITHS FALLS,FALLS,Ontario 49,19-Apr-2023,50000.0
CANADIAN TIRE GAS BAR #1171,678 HWY 401 WESTBOUND K0E-1R0 MALLORYTOWN,MALLORYTOWN,Daily Keno,22-May-2023,50000.0
CANADIAN TIRE GAS BAR #1719,1101 ONTARIO ST N5A-6W6 STRATFORD,STRATFORD,BINGO,31-3037,50000.0
CARLTON CONVENIENCE,230 BATHURST ST M5T-2S3 TORONTO,TORONTO,Daily Keno,14-Apr-2023,50000.0
CIRCLE K #813 - QUEEN E,130 QUEEN ST E L6V-1B1 BRAMPTON,BRAMPTON,Ontario 49,19-Jul-2023,50000.0
ESSO/CIRCLE K #52668,3600 SHEPPARD AVE E M1T-3K7 SCARBOROUGH,SCARBOROUGH,Daily Keno,03-Apr-2023,50000.0
FAMILY MART #2,1240 TALBOT ST N5P-1G9 ST THOMAS,THOMAS,GOLDEN JP,31-2333,50000.0
GATEWAY NEWSTANDS #105,16 YORK MILLS RD M2P-2E5 NORTH YORK,YORK,Daily Keno,15-Jun-2023,50000.0
GOLDIE'S VARIETY,679 MOHAWK RD E L8V-2K6 HAMILTON,HAMILTON,Daily Keno,07-May-2023,50000.0
LUCKY LOTTO CENTRE,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,SCARBOROUGH,Daily Keno,24-Jun-2023,50000.0
MEADOWBROOKS VARIETY,545 ARMSTRONG RD K7M-7G9 KINGSTON,KINGSTON,Daily Keno,09-May-2023,50000.0
MISTER CONVENIENCE,184 MARINA BLVD K9H-6M9 PETERBOROUGH,PETERBOROUGH,Daily Keno,14-Jul-2023,50000.0
MOBIL@LOBLAWS,400 KENT ST W K9V-6K2 LINDSAY,LINDSAY,Ontario 49,15-Jul-2023,50000.0
NEIGHBOURHOOD CONVENIENCE,894 MOUNT PLEASANT RD M4P-2L6 TORONTO,TORONTO,Daily Keno,05-May-2023,50000.0
NORLAND CONVENIENCE,3465 MONCK ROAD #45 K0M-2L0 NORLAND,NORLAND,SCRABBLE,31-2372,50000.0
PETER'S CONVENIENCE,1050 UPPER GAGE AVE L8V-5B7 HAMILTON,HAMILTON,Daily Keno,07-May-2023,50000.0
PETRO CANADA,1270 BRIMLEY RD M1P-3G6 SCARBOROUGH,SCARBOROUGH,Daily Keno,04-Mar-2023,50000.0
PETRO CANADA,1571 LAWRENCE AVE W M6L-1C3 NORTH YORK,YORK,Daily Keno,19-May-2023,50000.0
PETRO CANADA,1651 ELLESMERE RD M1H-2V4 SCARBOROUGH,SCARBOROUGH,Ontario 49,17-May-2023,50000.0
PETRO CANADA,587 THIRD LINE L6L-4A8 OAKVILLE,OAKVILLE,Daily Keno,18-May-2023,50000.0
REXALL #2139 - STROUD,7975 YONGE ST L9S-1A8 INNISFIL,INNISFIL,Ontario 49,26-Jul-2023,50000.0
REXALL #6909 - SCARBOR GEN HOSPITAL,3030 LAWRENCE AVE E M1P-2T7 SCARBOROUGH,SCARBOROUGH,BINGO MULTIP,31-3080,50000.0
SDM #1410 - BLOOR & BEDFORD,236 BLOOR ST W M5S-1T8 TORONTO,TORONTO,Daily Keno,05-Jun-2023,50000.0
SMOKER'S KORNER,2900 WARDEN AVE M1W-2S8 SCARBOROUGH,SCARBOROUGH,Daily Keno,11-May-2023,50000.0
STOREASY,846 PAPE AVE M4K-3T6 EAST YORK,YORK,REEL CASH,31-2360,50000.0
STRATFORD VARIETY,542 DOWNIE ST N5A-1Y2 STRATFORD,STRATFORD,CROSSWORD,31-3236,50000.0
WELCOME GUARDIAN PHARMACY,1881 YONGE ST M4S-3C4 TORONTO,TORONTO,Ontario 49,01-Apr-2023,50000.0
WELLINGTON CONVENIENCE,700 WELLINGTON ST N7T-1J2 SARNIA,SARNIA,Ontario 49,01-Mar-2023,50000.0
WENDY'S ONE STOP SHOP,15101 HIGHWAY 48 L4A-3B5 STOUFFVILLE,STOUFFVILLE,Ontario 49,11-Mar-2023,50000.0
WESTBRAM A CONVENIENCE,400 QUEEN ST W L6X-1B3 BRAMPTON,BRAMPTON,BINGO,31-3037,50000.0
EVERGREEN TOP CONVENIENCE,370 HIGHLAND RD W N2M-5J9 KITCHENER,KITCHENER,Lotto 649,22-Jul-2023,46922.4
SDM #1201 - DERRY & BRONTE,6951 DERRY RD L9T-7H5 MILTON,MILTON,Lotto 649,22-Jul-2023,46922.4
SOBEYS #934 SPADINA & BREMNAR,22 FORT YORK BLVD M5V-3Z2 TORONTO,TORONTO,Lotto 649,22-Jul-2023,46922.4
CIRCLE K #802 - HIGHGATE,1402 HIGHGATE RD K2C-2Y6 OTTAWA,OTTAWA,Lotto 649,22-Mar-2023,44538.2
OLIVEWOOD HUSKY,879 KIPLING AVE M8Z-5H2 ETOBICOKE,ETOBICOKE,Lotto 649,22-Mar-2023,44538.2
PIONEER ON THE RUN,2430 FAIRVIEW ST L7R-2E4 BURLINGTON,BURLINGTON,Lotto 649,22-Mar-2023,44538.2
THE AIRWAYS GENERAL STORE,2667 SECOND LINE W P6A-6K4 PRINCE TWP,TWP,Lotto 649,22-Mar-2023,44538.2
FORTINOS,2911 MAJOR MACKENZIE DR L6A-3N9 MAPLE,MAPLE,Lotto Max,28-Mar-2023,43475.0
MILK PLUS,1909 ELLESMERE RD M1H-2W5 SCARBOROUGH,SCARBOROUGH,Lotto Max,28-Mar-2023,43475.0
SDM #667 - ELLIOT LAKE,220 ONTARIO AVE P5A-1Y5 ELLIOT LAKE,LAKE,Lotto Max,28-Mar-2023,43475.0
GATEWAY NEWSTANDS,1571 SANDHURST CIR M1V-1V2 SCARBOROUGH,SCARBOROUGH,Poker Lotto All In,24-May-2023,39661.3
BIG A CONVENIENCE STORE,794 LONDON RD N7T-4Y1 SARNIA,SARNIA,WILD ACES,31-2348,35000.0
BYNG VARIETY AND GAS CORP,10 PORT MAITLAND RD N1A-1Y4 DUNNVILLE,DUNNVILLE,DOUBLE IT,31-2351,35000.0
SCHOMBERG FOODLAND 6392,17250 HIGHWAY 27 RD L0G-1T0 SCHOMBERG,SCHOMBERG,DOUBLE IT,31-2351,35000.0
NEW TOWN VARIETY PLUS,54 MAIN ST E N0P-2C0 RIDGETOWN,RIDGETOWN,Lotto 649,02-Aug-2023,34155.7
DAISY MART,75 ALDER ST L9W-5A9 ORANGEVILLE,ORANGEVILLE,PAY DAY,31-2371,30000.0
QUEEN ST. VARIETY,1296 QUEEN ST E M4L-1C4 TORONTO,TORONTO,PAY DAY,31-2371,30000.0
RABBA KINGSCROSS,17 KINGSCROSS RD L6T-3V5 BRAMPTON,BRAMPTON,PAY DAY,31-2371,30000.0
CIRCLE K #00186,75 WILLIAM ST N K9V-4A3 LINDSAY,LINDSAY,WILD 8,31-2352,28888.0
SDM #728 - CONESTOGA MALL,550 KING ST N N2L-5W6 WATERLOO,WATERLOO,WILD 8,31-2352,28888.0
ANGEL'S CONVENIENCE,2965 ISLINGTON AVE M9L-2K7 NORTH YORK,YORK,Lotto 649,31-May-2023,27875.8
BIG BEAR FOOD MART,159 HIGHLAND RD E N2M-3W1 KITCHENER,KITCHENER,Lotto 649,31-May-2023,27875.8
AJAX ESSO,290 ROSSLAND RD E L1T-4V2 AJAX,AJAX,Daily Keno,05-Aug-2023,25000.0
ALBION JUG CITY,1620 ALBION RD M9V-4B4 ETOBICOKE,ETOBICOKE,Daily Keno,09-May-2023,25000.0
AVONDALE STEWART MARKET,1620 DOMINION RD L2A-5M4 FORT ERIE,ERIE,Ontario 49,10-May-2023,25000.0
BALA VARIETY AND LOTTO,3030 DON MILLS RD M2J-3C1 NORTH YORK,YORK,Daily Keno,05-Aug-2023,25000.0
BEST VALUE,462 BIRCHMOUNT RD M1K-1N8 SCARBOROUGH,SCARBOROUGH,Daily Keno,06-Apr-2023,25000.0
BUSY BEE MART,1261 ALEXANDRA AVE L5E-2A7 MISSISSAUGA,MISSISSAUGA,Daily Keno,09-May-2023,25000.0
CANADIAN TIRE GAS BAR #1118,274 FOURTH AVE L2R-6P9 ST CATHARINES,CATHARINES,Daily Keno,09-Jun-2023,25000.0
CANADIAN TIRE GAS PLUS #1021,1895 HYDE PARK RD N6H-0A3 LONDON,LONDON,Daily Keno,07-Mar-2023,25000.0
CANCO 122 COLLINGWOOD,143 HUME ST L9Y-1V7 COLLINGWOOD,COLLINGWOOD,BINGO,31-3037,25000.0
CIRCLE K #55 - LEACOCK,420 LEACOCK DR L4N-5M6 BARRIE,BARRIE,TETRIS,31-2362,25000.0
CIRCLE K #60309 - ISLINGTON,2428 ISLINGTON AVE M9W-3X8 ETOBICOKE,ETOBICOKE,Pick 4,19-Apr-2023,25000.0
CNIB - PRIZE CENTRE,20 DUNDAS ST W M5G-2C2 TORONTO,TORONTO,Daily Keno,05-May-2023,25000.0
DAISY MART,34 HARWOOD AVE S L1S-2B6 AJAX,AJAX,Ontario 49,10-May-2023,25000.0
ELLIOTT'S CIGAR,2790 DANFORTH AVE M4C-1M1 TORONTO,TORONTO,Daily Keno,21-Mar-2023,25000.0
ESSO,197 BELLAMY RD N M1J-2L3 SCARBOROUGH,SCARBOROUGH,Daily Keno,06-Apr-2023,25000.0
ESSO/CIRCLE K #52479,843 DON MILLS RD M3C-1V4 NORTH YORK,YORK,Ontario 49,29-Jul-2023,25000.0
ESSO/CLARK'S CORNER GAS,41 DICKENSON RD P0V-1C0 BALMERTOWN,BALMERTOWN,RUN THETABLE,31-2377,25000.0
ESSO/HASTY MARKET,14010 HURONTARIO ST L7C-2C1 INGLEWOOD,INGLEWOOD,TETRIS,31-2362,25000.0
FRIENDS VARIETY,150 SIDNEY ST K8P-5E2 BELLEVILLE,BELLEVILLE,Daily Keno,04-May-2023,25000.0
GATEWAY NEWSTANDS,84 LYNDEN RD N3R-6B8 BRANTFORD,BRANTFORD,Lotto 649,13-May-2023,25000.0
GATEWAY NEWSTANDS KIOSK #128,15 JANE ST M6S-3Y3 TORONTO,TORONTO,Daily Keno,19-Apr-2023,25000.0
GIANT TIGER #19 NAPANEE,13 INDUSTRIAL BLVD K7R-1M7 NAPANEE,NAPANEE,Lotto 649,13-May-2023,25000.0
GIANT TIGER #211 HANOVER,880 10TH ST N4N-1S3 HANOVER,HANOVER,Lotto 649,13-May-2023,25000.0
J & B VARIETY,139 GLENMORRIS ST N1S-2Z4 CAMBRIDGE,CAMBRIDGE,CASHINGO,31-2361,25000.0
J'S VARIETY,434 LACLIE ST L3V-4P6 ORILLIA,ORILLIA,100KMONYMTCH,31-2358,25000.0
LONGO'S #25 - MILTON,1079 MAPLE AVE L9T-0A5 MILTON,MILTON,Ontario 49,29-Jul-2023,25000.0
M & C LUCKY CONVENIENCE,141 MARTIN GROVE RD M9B-4K8 ETOBICOKE,ETOBICOKE,Daily Keno,04-Mar-2023,25000.0
M & D VARIETY,2700 KIPLING AVE M9V-4P2 ETOBICOKE,ETOBICOKE,Daily Keno,05-Jun-2023,25000.0
MAC'S LAVERY,1100 LAVERY ST P1B-5B1 NORTH BAY,BAY,RUN THETABLE,31-2377,25000.0
MAC'S MCNAUGHTON W,170 MCNAUGHTON AVE W N7L-1R4 CHATHAM,CHATHAM,Lotto 649,13-May-2023,25000.0
METRO #479- ORILLIA,70 FRONT ST N L3V-4R8 ORILLIA,ORILLIA,Daily Keno,30-May-2023,25000.0
METRO #759- MERCHANDISE BLDG,89 GOULD ST M5B-2R1 TORONTO,TORONTO,Daily Keno,19-Apr-2023,25000.0
MISTER CONVENIENCE,184 MARINA BLVD K9H-6M9 PETERBOROUGH,PETERBOROUGH,Daily Keno,07-May-2023,25000.0
MOUNT ALBERT MAIN MILK & CONVENIENCE,61 MAIN ST L0G-1M0 MOUNT ALBERT,ALBERT,Daily Keno,30-Mar-2023,25000.0
NEWLY ELSON'S VARIETY & GIFT,280 ELSON ST L3S-3L1 MARKHAM,MARKHAM,Daily Keno,14-Apr-2023,25000.0
NEWS DEPOT,262 DUNDAS ST N6A-1H3 LONDON,LONDON,SUIT UP,31-2356,25000.0
NICHOLBY'S,123 QUEEN ST W M5H-3M9 TORONTO,TORONTO,Daily Keno,17-Aug-2023,25000.0
OXFORD MINI MART & TIP TOP CLEANERS,9 LISGAR AVE N4G-5A9 TILLSONBURG,TILLSONBURG,CROSS DELUXE,31-3351,25000.0
PETRO CANADA,1270 BRIMLEY RD M1P-3G6 SCARBOROUGH,SCARBOROUGH,Pick 4,16-May-2023,25000.0
PETRO CANADA,277 HIGHBURY AVE N5Z-2W8 LONDON,LONDON,Pick 4,08-Jul-2023,25000.0
PETRO CANADA,354 QUEEN ST E L6V-1C3 BRAMPTON,BRAMPTON,Daily Keno,26-Apr-2023,25000.0
PETRO CANADA,385 WESTON RD M6N-3P7 TORONTO,TORONTO,Daily Keno,03-May-2023,25000.0
PICKERING FOOD FAIR,1360 KINGSTON RD L1V-3B4 PICKERING,PICKERING,Pick 4,09-Jun-2023,25000.0
PIONEER ON THE RUN,857 10TH ST N4N-1S1 HANOVER,HANOVER,Daily Keno,10-Jun-2023,25000.0
QUICK STOP CONVENIENCE,876 DANFORTH RD M1K-1H8 SCARBOROUGH,SCARBOROUGH,Pick 4,26-Apr-2023,25000.0
QUICKIE RICHMOND 40052,1386 RICHMOND RD K2B-8L4 OTTAWA,OTTAWA,BINGO MULTIP,31-3080,25000.0
RED APPLES CONVENIENCE,5700 MAVIS RD L5V-2N6 MISSISSAUGA,MISSISSAUGA,CASHINGO,31-2361,25000.0
REXALL #83 -  SOUTHDOWN ROAD,1375 SOUTHDOWN RD L5J-2Z1 MISSISSAUGA,MISSISSAUGA,Pick 4,11-Jun-2023,25000.0
ROBLIN GAS BAR,3243 HIGHWAY 41 K0K-2W0 ROBLIN,ROBLIN,SUIT UP,31-2356,25000.0
SAM'S FOOD MARKET AND CONVENIENCE,9587 WESTON RD L4H-3A5 WOODBRIDGE,WOODBRIDGE,Pick 4,30-Apr-2023,25000.0
SAWA CONVENIENCE STORE,8633 WESTON RD L4L-9R6 WOODBRIDGE,WOODBRIDGE,Daily Keno,03-May-2023,25000.0
SHOP 'N GO CONVENIENCE,100 CAVELL AVE M8V-3V6 ETOBICOKE,ETOBICOKE,Pick 4,30-Apr-2023,25000.0
SIOUX LOTTERY CENTRE,64 FRONT ST P8T-1B1 SIOUX LOOKOUT,LOOKOUT,Daily Keno,06-Jul-2023,25000.0
SMOKE & GIFT,1 SPADINA RD L4B-3M2 RICHMOND HILL,HILL,100KMONYMTCH,31-2358,25000.0
SNAPPY FOOD MART,3600 ELLESMERE RD M1C-4Y8 SCARBOROUGH,SCARBOROUGH,Daily Keno,25-May-2023,25000.0
SOBEYS #4740,1012 BROAD ST E N1A-2Z2 DUNNVILLE,DUNNVILLE,Ontario 49,20-May-2023,25000.0
STIRLING SHELL,115 BELLEVILLE RD K0K-3E0 STIRLING,STIRLING,Lotto 649,13-May-2023,25000.0
SUPER CONVENIENCE,574A PLAINS RD E L7T-2E5 BURLINGTON,BURLINGTON,Daily Keno,11-Mar-2023,25000.0
SUPER GREEN CONVENIENCE,321 SANDWICH ST S N9V-2A9 AMHERSTBURG,AMHERSTBURG,100KMONYMTCH,31-2358,25000.0
THE CORNER STORE,475 WESTNEY RD N L1T-3H4 AJAX,AJAX,Daily Keno,01-Apr-2023,25000.0
TWO BROTHERS CONVENIENCE,899 GRAND MARAIS RD E N8X-3H9 WINDSOR,WINDSOR,Daily Keno,01-Jul-2023,25000.0
ULTRAMAR ON THE RUN,401 MARCH RD K2K-0K1 KANATA,KANATA,Lotto 649,13-May-2023,25000.0
VICKY & MOM'S CONVENIENCE,9000 WESTON RD L4L-0L1 WOODBRIDGE,WOODBRIDGE,Daily Keno,24-Mar-2023,25000.0
